Order_id,Quantity,Month,Day_Of_Week,Order_Time,Unit_Price,Total_Sales,pizza_size,pizza_category,pizza_name
2,2,Jun,Mon,19,33.0,33.0,M,Supreme,The Pepper Salami Pizza
3,3,Feb,Thu,12,55.5,55.5,L,Veggie,The Five Cheese Pizza
1,1,Feb,Tue,13,12.25,12.25,S,Supreme,The Sicilian Pizza
1,1,May,Mon,11,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
1,1,Jun,Wed,21,20.25,20.25,L,Veggie,The Mexicana Pizza
2,2,May,Sat,18,40.5,40.5,L,Veggie,The Mediterranean Pizza
3,3,May,Sun,16,44.25,44.25,M,Veggie,The Four Cheese Pizza
1,1,May,Mon,12,16.0,16.0,M,Classic,The Classic Deluxe Pizza
3,4,Jan,Tue,13,60.75,81.0,L,Veggie,The Spinach and Feta Pizza
2,2,Apr,Sun,17,26.5,26.5,M,Classic,The Hawaiian Pizza
1,1,Jan,Thu,16,16.25,16.25,M,Supreme,The Sicilian Pizza
2,2,Jun,Wed,13,41.5,41.5,L,Chicken,The California Chicken Pizza
1,1,May,Fri,13,12.5,12.5,S,Supreme,The Soppressata Pizza
1,1,Jan,Tue,16,20.75,20.75,L,Chicken,The California Chicken Pizza
1,1,Mar,Thu,20,18.5,18.5,L,Veggie,The Five Cheese Pizza
2,2,May,Thu,11,41.5,41.5,L,Chicken,The Thai Chicken Pizza
1,1,May,Thu,18,12.0,12.0,S,Classic,The Big Meat Pizza
1,1,Apr,Sat,15,16.25,16.25,M,Supreme,The Calabrese Pizza
3,3,May,Sun,18,29.25,29.25,S,Classic,The Pepperoni Pizza
2,2,Jan,Fri,18,25.5,25.5,S,Chicken,The Barbecue Chicken Pizza
1,1,May,Fri,22,16.5,16.5,M,Supreme,The Spinach Supreme Pizza
1,1,Jan,Tue,20,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
1,1,Jan,Sun,20,17.95,17.95,L,Veggie,The Four Cheese Pizza
1,1,Mar,Mon,19,20.75,20.75,L,Supreme,The Italian Supreme Pizza
1,1,Feb,Thu,19,16.5,16.5,M,Supreme,The Italian Supreme Pizza
2,2,May,Sun,17,41.5,41.5,L,Supreme,The Italian Supreme Pizza
3,3,Mar,Mon,13,33.0,33.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,Apr,Tue,16,16.75,16.75,M,Veggie,The Italian Vegetables Pizza
2,2,Jun,Sun,13,19.5,19.5,S,Classic,The Pepperoni Pizza
1,1,Mar,Sun,19,20.75,20.75,L,Chicken,The Thai Chicken Pizza
1,1,Apr,Tue,12,14.75,14.75,M,Veggie,The Four Cheese Pizza
2,2,Feb,Fri,16,37.0,37.0,L,Veggie,The Five Cheese Pizza
1,1,Apr,Sat,13,12.0,12.0,S,Veggie,The Green Garden Pizza
1,1,Mar,Thu,15,12.0,12.0,S,Veggie,The Green Garden Pizza
1,2,Apr,Sat,14,12.75,25.5,S,Chicken,The California Chicken Pizza
2,4,Jan,Sat,13,33.5,67.0,M,Chicken,The Barbecue Chicken Pizza
